Pincode,District,State,Latitude,Longitude
184949,Siliguri,West Bengal,26.6775,88.3633
329462,Patna,Bihar,25.6027,85.1072
396237,Patna,Bihar,25.59,85.1493
162633,Patna,Bihar,25.5475,85.1196
620309,Patna,Bihar,25.5959,85.094
824377,Patna,Bihar,25.6357,85.1772
775781,Patna,Bihar,25.5862,85.1511
830771,Patna,Bihar,25.6332,85.1702
339867,Gaya,Bihar,24.8253,84.9844
701839,Gaya,Bihar,24.7761,84.9997
244799,Gaya,Bihar,24.808,84.9707
142291,Gaya,Bihar,24.7939,84.9665
464965,Gaya,Bihar,24.8089,85.0387
193163,Gaya,Bihar,24.8088,84.9683
756456,Gaya,Bihar,24.8119,85.0088
130936,Gaya,Bihar,24.8247,84.9914
439077,Bhubaneswar,Odisha,20.3159,85.8303
712227,Bhubaneswar,Odisha,20.3373,85.7972
621215,Bhubaneswar,Odisha,20.3116,85.8704
614754,Bhubaneswar,Odisha,20.3183,85.8153
473287,Bhubaneswar,Odisha,20.3439,85.8547
656216,Bhubaneswar,Odisha,20.2817,85.8435
289656,Bhubaneswar,Odisha,20.2712,85.7915
467015,Bhubaneswar,Odisha,20.2587,85.8367
733696,Cuttack,Odisha,20.4948,85.885
670326,Cuttack,Odisha,20.4601,85.8857
142486,Cuttack,Odisha,20.4344,85.8613
263701,Cuttack,Odisha,20.5,85.9309
368769,Cuttack,Odisha,20.4609,85.9186
479062,Cuttack,Odisha,20.4308,85.8479
345389,Ranchi,Jharkhand,23.3729,85.3547
812858,Ranchi,Jharkhand,23.3479,85.2667
595792,Ranchi,Jharkhand,23.3113,85.3163
806033,Ranchi,Jharkhand,23.3494,85.3538
734972,Ranchi,Jharkhand,23.3341,85.2737
425920,Ranchi,Jharkhand,23.3083,85.298
192056,Ranchi,Jharkhand,23.3087,85.2678
841179,Jamshedpur,Jharkhand,22.853,86.1749
646993,Jamshedpur,Jharkhand,22.8181,86.1794
445435,Jamshedpur,Jharkhand,22.8438,86.1704
312997,Jamshedpur,Jharkhand,22.7748,86.2174
253163,Jamshedpur,Jharkhand,22.7912,86.1653
124352,Raipur,Chhattisgarh,21.2744,81.5853
845628,Raipur,Chhattisgarh,21.2588,81.6462
247314,Raipur,Chhattisgarh,21.2597,81.6014
616883,Raipur,Chhattisgarh,21.297,81.5855
797501,Raipur,Chhattisgarh,21.2988,81.5929
329592,Raipur,Chhattisgarh,21.2857,81.6007
461916,Raipur,Chhattisgarh,21.2612,81.6364
317590,Raipur,Chhattisgarh,21.2049,81.6665
156178,Bhopal,Madhya Pradesh,23.2501,77.3679
717603,Bhopal,Madhya Pradesh,23.2222,77.4279
785011,Bhopal,Madhya Pradesh,23.2941,77.435
547821,Bhopal,Madhya Pradesh,23.2868,77.4046
463514,Bhopal,Madhya Pradesh,23.2104,77.4381
385924,Bhopal,Madhya Pradesh,23.2198,77.3725
110172,Bhopal,Madhya Pradesh,23.2152,77.3888
681643,Bhopal,Madhya Pradesh,23.3006,77.365
191200,Bhopal,Madhya Pradesh,23.238,77.4253
398520,Indore,Madhya Pradesh,22.7229,75.9013
513394,Indore,Madhya Pradesh,22.737,75.89
119905,Indore,Madhya Pradesh,22.7098,75.8709
695144,Indore,Madhya Pradesh,22.7617,75.8975
316034,Indore,Madhya Pradesh,22.7292,75.9009
114947,Indore,Madhya Pradesh,22.7436,75.8335
190312,Indore,Madhya Pradesh,22.735,75.8707
484183,Indore,Madhya Pradesh,22.7597,75.8438
453613,Bengaluru,Karnataka,13.0088,77.6222
597231,Bengaluru,Karnataka,13.0013,77.5781
538161,Bengaluru,Karnataka,12.9801,77.6211
260452,Bengaluru,Karnataka,12.9347,77.5756
616132,Bengaluru,Karnataka,12.9454,77.5619
680687,Bengaluru,Karnataka,12.9562,77.5533
496311,Bengaluru,Karnataka,12.9712,77.5881
381746,Bengaluru,Karnataka,12.9254,77.5537
737307,Mysuru,Karnataka,12.287,76.6405
131471,Mysuru,Karnataka,12.3353,76.6634
803003,Mysuru,Karnataka,12.2725,76.6521
606610,Mysuru,Karnataka,12.3167,76.6047
176116,Mysuru,Karnataka,12.3361,76.6679
797875,Hyderabad,Telangana,17.3389,78.4724
684349,Hyderabad,Telangana,17.4235,78.4862
838291,Hyderabad,Telangana,17.4321,78.4552
242046,Hyderabad,Telangana,17.3626,78.5144
143447,Hyderabad,Telangana,17.4001,78.4565
632357,Hyderabad,Telangana,17.394,78.5009
725206,Warangal,Telangana,17.9215,79.556
256082,Warangal,Telangana,17.9662,79.5983
269380,Warangal,Telangana,17.9285,79.5452
201878,Warangal,Telangana,17.9508,79.5724
440892,Warangal,Telangana,17.9575,79.5501
415002,Warangal,Telangana,18.0149,79.612
509036,Warangal,Telangana,18.014,79.6217
739263,Visakhapatnam,Andhra Pradesh,17.7361,83.2358
698215,Visakhapatnam,Andhra Pradesh,17.6759,83.208
238989,Visakhapatnam,Andhra Pradesh,17.7073,83.2033
534486,Visakhapatnam,Andhra Pradesh,17.6713,83.2128
750007,Visakhapatnam,Andhra Pradesh,17.6657,83.2671
195214,Visakhapatnam,Andhra Pradesh,17.7234,83.1694
728893,Vijayawada,Andhra Pradesh,16.4826,80.668
374321,Vijayawada,Andhra Pradesh,16.5089,80.6958
587220,Vijayawada,Andhra Pradesh,16.5456,80.6917
849174,Vijayawada,Andhra Pradesh,16.4949,80.6713
238781,Vijayawada,Andhra Pradesh,16.4948,80.6827
392766,Vijayawada,Andhra Pradesh,16.475,80.6798
721355,Vijayawada,Andhra Pradesh,16.4677,80.6669
733367,Vijayawada,Andhra Pradesh,16.496,80.6582
749554,Chennai,Tamil Nadu,13.0818,80.2816
311121,Chennai,Tamil Nadu,13.0747,80.2242
813886,Chennai,Tamil Nadu,13.1265,80.2471
713585,Chennai,Tamil Nadu,13.0402,80.2242
182793,Chennai,Tamil Nadu,13.0806,80.2274
367599,Chennai,Tamil Nadu,13.1201,80.3127
314253,Coimbatore,Tamil Nadu,11.023,76.9415
696249,Coimbatore,Tamil Nadu,11.0464,76.9776
631837,Coimbatore,Tamil Nadu,11.0263,76.9175
798814,Coimbatore,Tamil Nadu,10.9701,76.9382
568178,Coimbatore,Tamil Nadu,10.9914,76.9404
172452,Coimbatore,Tamil Nadu,11.0494,76.9139
703894,Coimbatore,Tamil Nadu,11.0601,76.935
783221,Coimbatore,Tamil Nadu,11.0364,76.942
730007,Coimbatore,Tamil Nadu,10.9714,76.9071
414490,Coimbatore,Tamil Nadu,11.0407,76.9499
794311,Kochi,Kerala,9.9412,76.2574
213835,Kochi,Kerala,9.9299,76.2503
360160,Kochi,Kerala,9.9025,76.261
611989,Kochi,Kerala,9.8942,76.2272
512714,Kochi,Kerala,9.9467,76.3021
300138,Kochi,Kerala,9.9377,76.2428
728961,Kochi,Kerala,9.9392,76.2609
268445,Kochi,Kerala,9.8899,76.2612
235064,Thiruvananthapuram,Kerala,8.5367,76.9737
842016,Thiruvananthapuram,Kerala,8.5587,76.8887
601354,Thiruvananthapuram,Kerala,8.4877,76.8937
702489,Thiruvananthapuram,Kerala,8.4847,76.9629
173287,Thiruvananthapuram,Kerala,8.4746,76.9527
217152,Guwahati,Assam,26.1067,91.7176
807252,Guwahati,Assam,26.0786,91.7503
300310,Guwahati,Assam,26.0713,91.7175
729326,Guwahati,Assam,26.1607,91.7311
261289,Guwahati,Assam,26.0937,91.7383
202859,Shillong,Meghalaya,25.5689,91.9397
739302,Shillong,Meghalaya,25.5608,91.9124
435417,Shillong,Meghalaya,25.5855,91.8497
288863,Shillong,Meghalaya,25.5493,91.8877
195626,Shillong,Meghalaya,25.5832,91.9119
459309,Shillong,Meghalaya,25.5682,91.938
555316,Imphal,Manipur,24.8332,93.9262
813491,Imphal,Manipur,24.8255,93.9505
112447,Imphal,Manipur,24.8566,93.9258
399935,Imphal,Manipur,24.7959,93.8944
191271,Imphal,Manipur,24.8473,93.9739
710832,Imphal,Manipur,24.8466,93.9753
213449,Imphal,Manipur,24.7876,93.9441
203273,Imphal,Manipur,24.8152,93.8877
590705,Agartala,Tripura,23.8098,91.3203
286261,Agartala,Tripura,23.809,91.259
766995,Agartala,Tripura,23.8491,91.2683
325394,Agartala,Tripura,23.8648,91.2523
604874,Agartala,Tripura,23.8383,91.2689
225622,Agartala,Tripura,23.8048,91.3302
619860,Agartala,Tripura,23.8505,91.3039
314174,Itanagar,Arunachal Pradesh,27.0956,93.5732
564300,Itanagar,Arunachal Pradesh,27.0596,93.57
447228,Itanagar,Arunachal Pradesh,27.1199,93.6068
225551,Itanagar,Arunachal Pradesh,27.1005,93.5576
468423,Itanagar,Arunachal Pradesh,27.1036,93.6093
690845,Itanagar,Arunachal Pradesh,27.1185,93.6024
618102,Itanagar,Arunachal Pradesh,27.1113,93.5708
512369,Gangtok,Sikkim,27.3088,88.604
723536,Gangtok,Sikkim,27.3807,88.589
637644,Gangtok,Sikkim,27.3476,88.6033
299260,Gangtok,Sikkim,27.3171,88.6346
330905,Gangtok,Sikkim,27.3517,88.6371
839598,Gangtok,Sikkim,27.3439,88.6379
781584,Gangtok,Sikkim,27.377,88.5998
113621,Gangtok,Sikkim,27.3806,88.6253
837238,Aizawl,Mizoram,23.7317,92.7378
689359,Aizawl,Mizoram,23.7253,92.7127
478045,Aizawl,Mizoram,23.683,92.7569
525173,Aizawl,Mizoram,23.7258,92.6888
289530,Aizawl,Mizoram,23.7746,92.7209
191394,Aizawl,Mizoram,23.7388,92.754
491300,Aizawl,Mizoram,23.6828,92.6843
121787,Aizawl,Mizoram,23.6858,92.7632
294807,Kohima,Nagaland,25.6556,94.1194
527032,Kohima,Nagaland,25.6609,94.1067
357511,Kohima,Nagaland,25.6434,94.1351
308825,Kohima,Nagaland,25.6422,94.1227
252367,Kohima,Nagaland,25.6538,94.0988
147688,Kohima,Nagaland,25.6824,94.092
538507,Kohima,Nagaland,25.6517,94.1052
704277,Kohima,Nagaland,25.6695,94.0841
699786,Kohima,Nagaland,25.7077,94.1362
600426,Port Blair,Andaman and Nicobar Islands,11.5934,92.7391
777726,Port Blair,Andaman and Nicobar Islands,11.5901,92.7167
348277,Port Blair,Andaman and Nicobar Islands,11.652,92.7244
140841,Port Blair,Andaman and Nicobar Islands,11.6676,92.7617
728656,Port Blair,Andaman and Nicobar Islands,11.6582,92.7597
320521,Port Blair,Andaman and Nicobar Islands,11.5746,92.744
204451,Port Blair,Andaman and Nicobar Islands,11.6447,92.7062
221650,Port Blair,Andaman and Nicobar Islands,11.6705,92.7548
727608,Port Blair,Andaman and Nicobar Islands,11.5735,92.7649
737102,Kavaratti,Lakshadweep,10.5404,72.6891
561090,Kavaratti,Lakshadweep,10.594,72.6569
849824,Kavaratti,Lakshadweep,10.5562,72.6253
551344,Kavaratti,Lakshadweep,10.5437,72.6528
730505,Kavaratti,Lakshadweep,10.5783,72.6824
490466,Kavaratti,Lakshadweep,10.523,72.6543
191564,Kavaratti,Lakshadweep,10.5194,72.6489
613637,Kavaratti,Lakshadweep,10.6074,72.6686
