date,district,inflow,outflow,net_migration
2025-01-04,Kolkata,0.0,1.0,-1.0
2025-01-04,Meerut,1.0,1.0,0.0
2025-01-04,Mumbai,1.0,0.0,1.0
2025-01-04,Mysuru,1.0,1.0,0.0
2025-01-04,Port Blair,0.0,1.0,-1.0
2025-01-04,Pune,2.0,1.0,1.0
2025-01-04,Ranchi,1.0,0.0,1.0
2025-01-04,Shimla,1.0,0.0,1.0
2025-01-04,Thiruvananthapuram,0.0,1.0,-1.0
2025-01-04,Varanasi,1.0,0.0,1.0
2025-01-04,Warangal,0.0,2.0,-2.0
2025-01-05,Agartala,0.0,1.0,-1.0
2025-01-05,Aizawl,1.0,0.0,1.0
2025-01-05,Bhubaneswar,0.0,1.0,-1.0
2025-01-05,Faridabad,1.0,1.0,0.0
2025-01-05,Guwahati,2.0,1.0,1.0
2025-01-05,Hyderabad,0.0,1.0,-1.0
2025-01-05,Itanagar,1.0,0.0,1.0
2025-01-05,Leh,0.0,1.0,-1.0
2025-01-05,Lucknow,0.0,1.0,-1.0
2025-01-05,Meerut,1.0,0.0,1.0
2025-01-05,Port Blair,2.0,0.0,2.0
2025-01-05,Ranchi,1.0,1.0,0.0
2025-01-05,Shillong,0.0,1.0,-1.0
2025-01-05,Srinagar,1.0,0.0,1.0
2025-01-05,Surat,0.0,1.0,-1.0
2025-01-05,Visakhapatnam,0.0,1.0,-1.0
2025-01-05,Warangal,1.0,0.0,1.0
2025-01-06,Chennai,0.0,1.0,-1.0
2025-01-06,Faridabad,1.0,1.0,0.0
2025-01-06,Gaya,0.0,1.0,-1.0
2025-01-06,Guwahati,1.0,0.0,1.0
2025-01-06,Haridwar,1.0,2.0,-1.0
2025-01-06,Hyderabad,0.0,1.0,-1.0
2025-01-06,Imphal,0.0,1.0,-1.0
2025-01-06,Indore,1.0,0.0,1.0
2025-01-06,Jaipur,1.0,0.0,1.0
2025-01-06,Jamshedpur,1.0,0.0,1.0
2025-01-06,Kolkata,1.0,0.0,1.0
2025-01-06,Leh,1.0,1.0,0.0
2025-01-06,Nagpur,2.0,0.0,2.0
2025-01-06,Patna,0.0,1.0,-1.0
2025-01-06,Port Blair,1.0,0.0,1.0
2025-01-06,Raipur,2.0,1.0,1.0
2025-01-06,Shimla,1.0,0.0,1.0
2025-01-06,Siliguri,0.0,2.0,-2.0
2025-01-06,Srinagar,1.0,0.0,1.0
2025-01-06,Visakhapatnam,0.0,2.0,-2.0
2025-01-06,Warangal,0.0,1.0,-1.0
2025-01-07,Ahmedabad,1.0,0.0,1.0
2025-01-07,Amritsar,1.0,0.0,1.0
2025-01-07,Bengaluru,0.0,1.0,-1.0
2025-01-07,Bhopal,0.0,1.0,-1.0
2025-01-07,Coimbatore,1.0,0.0,1.0
2025-01-07,Dehradun,0.0,1.0,-1.0
2025-01-07,Faridabad,0.0,1.0,-1.0
2025-01-07,Gangtok,1.0,0.0,1.0
2025-01-07,Gaya,0.0,2.0,-2.0
2025-01-07,Gurugram,1.0,0.0,1.0
2025-01-07,Haridwar,1.0,0.0,1.0
2025-01-07,Hyderabad,1.0,2.0,-1.0
2025-01-07,Imphal,0.0,1.0,-1.0
2025-01-07,Indore,1.0,0.0,1.0
2025-01-07,Jaipur,0.0,1.0,-1.0
2025-01-07,Jammu,1.0,0.0,1.0
2025-01-07,Kavaratti,1.0,0.0,1.0
2025-01-07,Kohima,1.0,2.0,-1.0
2025-01-07,Kolkata,0.0,1.0,-1.0
2025-01-07,Meerut,1.0,0.0,1.0
2025-01-07,Mumbai,3.0,0.0,3.0
2025-01-07,Panaji,0.0,1.0,-1.0
2025-01-07,Patna,0.0,1.0,-1.0
2025-01-07,Shimla,1.0,1.0,0.0
2025-01-07,Siliguri,1.0,1.0,0.0
2025-01-08,Agartala,1.0,0.0,1.0
2025-01-08,Ahmedabad,1.0,1.0,0.0
2025-01-08,Aizawl,0.0,1.0,-1.0
2025-01-08,Bengaluru,0.0,2.0,-2.0
2025-01-08,Bhopal,1.0,0.0,1.0
2025-01-08,Bhubaneswar,0.0,1.0,-1.0
2025-01-08,Chandigarh,2.0,1.0,1.0
2025-01-08,Coimbatore,1.0,0.0,1.0
2025-01-08,Cuttack,1.0,2.0,-1.0
2025-01-08,Dehradun,0.0,1.0,-1.0
2025-01-08,Faridabad,0.0,1.0,-1.0
2025-01-08,Gangtok,1.0,0.0,1.0
2025-01-08,Gurugram,1.0,0.0,1.0
2025-01-08,Haridwar,0.0,1.0,-1.0
2025-01-08,Hyderabad,0.0,1.0,-1.0
2025-01-08,Imphal,1.0,0.0,1.0
2025-01-08,Itanagar,1.0,0.0,1.0
2025-01-08,Jaipur,1.0,0.0,1.0
2025-01-08,Jamshedpur,0.0,1.0,-1.0
2025-01-08,Lucknow,2.0,0.0,2.0
2025-01-08,Ludhiana,1.0,1.0,0.0
2025-01-08,Patna,0.0,1.0,-1.0
2025-01-08,Pune,0.0,1.0,-1.0
2025-01-08,Shillong,1.0,0.0,1.0
2025-01-08,Shimla,0.0,1.0,-1.0
2025-01-08,Siliguri,1.0,1.0,0.0
2025-01-08,Surat,2.0,0.0,2.0
2025-01-08,Warangal,0.0,1.0,-1.0
2025-01-09,Agartala,0.0,1.0,-1.0
2025-01-09,Amritsar,1.0,0.0,1.0
2025-01-09,Bhopal,0.0,2.0,-2.0
2025-01-09,Bhubaneswar,2.0,0.0,2.0
2025-01-09,Coimbatore,0.0,1.0,-1.0
2025-01-09,Dehradun,1.0,0.0,1.0
2025-01-09,Faridabad,0.0,1.0,-1.0
2025-01-09,Guwahati,0.0,1.0,-1.0
2025-01-09,Imphal,2.0,1.0,1.0
2025-01-09,Jaipur,0.0,1.0,-1.0
2025-01-09,Jamshedpur,1.0,0.0,1.0
2025-01-09,Kohima,0.0,1.0,-1.0
2025-01-09,Kolkata,0.0,1.0,-1.0
2025-01-09,Lucknow,0.0,1.0,-1.0
2025-01-09,Patna,1.0,0.0,1.0
2025-01-09,Port Blair,0.0,1.0,-1.0
2025-01-09,Siliguri,2.0,0.0,2.0
2025-01-09,Surat,1.0,0.0,1.0
2025-01-09,Vijayawada,1.0,1.0,0.0
2025-01-09,Visakhapatnam,1.0,0.0,1.0
2025-01-10,Aizawl,1.0,1.0,0.0
2025-01-10,Bhubaneswar,1.0,1.0,0.0
2025-01-10,Chennai,1.0,0.0,1.0
2025-01-10,Cuttack,1.0,0.0,1.0
2025-01-10,Dehradun,0.0,2.0,-2.0
2025-01-10,Faridabad,1.0,0.0,1.0
2025-01-10,Gangtok,0.0,1.0,-1.0
2025-01-10,Hyderabad,1.0,0.0,1.0
2025-01-10,Imphal,0.0,1.0,-1.0
2025-01-10,Jaipur,0.0,1.0,-1.0
2025-01-10,Jammu,0.0,1.0,-1.0
2025-01-10,Jamshedpur,0.0,1.0,-1.0
2025-01-10,Jodhpur,0.0,1.0,-1.0
2025-01-10,Kanpur,0.0,1.0,-1.0
2025-01-10,Kohima,1.0,0.0,1.0
2025-01-10,Lucknow,0.0,1.0,-1.0
2025-01-10,Ludhiana,2.0,0.0,2.0
2025-01-10,Mumbai,1.0,0.0,1.0
2025-01-10,Mysuru,1.0,1.0,0.0
2025-01-10,Patna,0.0,1.0,-1.0
2025-01-10,Port Blair,0.0,1.0,-1.0
2025-01-10,Ranchi,0.0,1.0,-1.0
2025-01-10,Shimla,1.0,0.0,1.0
2025-01-10,Srinagar,2.0,0.0,2.0
2025-01-10,Surat,1.0,0.0,1.0
2025-01-10,Thiruvananthapuram,1.0,0.0,1.0
2025-01-11,Bengaluru,0.0,1.0,-1.0
2025-01-11,Bhopal,2.0,1.0,1.0
2025-01-11,Chandigarh,0.0,1.0,-1.0
2025-01-11,Coimbatore,1.0,0.0,1.0
2025-01-11,Dehradun,1.0,1.0,0.0
2025-01-11,Gangtok,0.0,1.0,-1.0
2025-01-11,Gaya,1.0,0.0,1.0
2025-01-11,Guwahati,0.0,1.0,-1.0
2025-01-11,Hyderabad,1.0,0.0,1.0
2025-01-11,Jamshedpur,0.0,1.0,-1.0
2025-01-11,Jodhpur,0.0,1.0,-1.0
2025-01-11,Kanpur,0.0,1.0,-1.0
2025-01-11,Kavaratti,1.0,0.0,1.0
2025-01-11,Kohima,2.0,0.0,2.0
2025-01-11,Meerut,0.0,1.0,-1.0
2025-01-11,Pune,1.0,0.0,1.0
2025-01-11,Siliguri,1.0,0.0,1.0
2025-01-11,Warangal,0.0,1.0,-1.0
2025-01-12,Ahmedabad,0.0,1.0,-1.0
2025-01-12,Amritsar,1.0,0.0,1.0
2025-01-12,Coimbatore,2.0,1.0,1.0
2025-01-12,Gangtok,1.0,1.0,0.0
2025-01-12,Gaya,0.0,1.0,-1.0
2025-01-12,Haridwar,1.0,1.0,0.0
2025-01-12,Indore,1.0,0.0,1.0
2025-01-12,Itanagar,0.0,1.0,-1.0
2025-01-12,Jammu,1.0,1.0,0.0
2025-01-12,Jodhpur,0.0,1.0,-1.0
2025-01-12,Kanpur,1.0,3.0,-2.0
2025-01-12,Kochi,1.0,0.0,1.0
2025-01-12,Kohima,1.0,1.0,0.0
2025-01-12,Kolkata,1.0,0.0,1.0
2025-01-12,Lucknow,0.0,1.0,-1.0
2025-01-12,Mumbai,1.0,0.0,1.0
2025-01-12,Mysuru,1.0,0.0,1.0
2025-01-12,Panaji,1.0,0.0,1.0
2025-01-12,Patna,0.0,1.0,-1.0
2025-01-12,Port Blair,0.0,1.0,-1.0
2025-01-12,Pune,2.0,0.0,2.0
2025-01-12,Raipur,0.0,1.0,-1.0
2025-01-12,Shillong,2.0,0.0,2.0
2025-01-12,Siliguri,1.0,2.0,-1.0
2025-01-12,Vijayawada,0.0,2.0,-2.0
2025-01-12,Visakhapatnam,1.0,0.0,1.0
2025-01-13,Ahmedabad,1.0,2.0,-1.0
2025-01-13,Aizawl,0.0,1.0,-1.0
2025-01-13,Bengaluru,3.0,0.0,3.0
2025-01-13,Bhopal,1.0,0.0,1.0
2025-01-13,Chandigarh,0.0,1.0,-1.0
2025-01-13,Chennai,2.0,0.0,2.0
2025-01-13,Faridabad,1.0,1.0,0.0
2025-01-13,Gangtok,1.0,0.0,1.0
2025-01-13,Gaya,1.0,1.0,0.0
2025-01-13,Gurugram,0.0,1.0,-1.0
2025-01-13,Haridwar,2.0,0.0,2.0
2025-01-13,Jammu,0.0,1.0,-1.0
2025-01-13,Jodhpur,0.0,1.0,-1.0
2025-01-13,Kochi,1.0,1.0,0.0
2025-01-13,Kolkata,0.0,1.0,-1.0
2025-01-13,Leh,0.0,1.0,-1.0
2025-01-13,Nagpur,1.0,0.0,1.0
2025-01-13,Panaji,1.0,0.0,1.0
2025-01-13,Port Blair,0.0,2.0,-2.0
2025-01-13,Pune,1.0,0.0,1.0
2025-01-13,Ranchi,1.0,0.0,1.0
2025-01-13,Shimla,1.0,2.0,-1.0
2025-01-13,Vijayawada,0.0,2.0,-2.0
2025-01-14,Amritsar,1.0,0.0,1.0
2025-01-14,Bengaluru,1.0,0.0,1.0
2025-01-14,Coimbatore,0.0,2.0,-2.0
2025-01-14,Gaya,1.0,0.0,1.0
2025-01-14,Guwahati,1.0,2.0,-1.0
2025-01-14,Indore,1.0,0.0,1.0
2025-01-14,Itanagar,1.0,0.0,1.0
2025-01-14,Jaipur,0.0,1.0,-1.0
2025-01-14,Jammu,1.0,0.0,1.0
2025-01-14,Mumbai,1.0,1.0,0.0
2025-01-14,Port Blair,0.0,1.0,-1.0
2025-01-14,Shillong,1.0,0.0,1.0
2025-01-14,Shimla,0.0,1.0,-1.0
2025-01-14,Srinagar,0.0,1.0,-1.0
2025-01-14,Vijayawada,1.0,0.0,1.0
2025-01-14,Warangal,0.0,1.0,-1.0
2025-01-15,Amritsar,1.0,0.0,1.0
2025-01-15,Bengaluru,1.0,0.0,1.0
2025-01-15,Bhopal,1.0,0.0,1.0
2025-01-15,Bhubaneswar,0.0,4.0,-4.0
2025-01-15,Coimbatore,0.0,1.0,-1.0
2025-01-15,Gaya,0.0,2.0,-2.0
2025-01-15,Gurugram,1.0,0.0,1.0
2025-01-15,Guwahati,0.0,1.0,-1.0
2025-01-15,Imphal,0.0,1.0,-1.0
2025-01-15,Itanagar,2.0,0.0,2.0
2025-01-15,Jaipur,0.0,1.0,-1.0
2025-01-15,Jamshedpur,0.0,2.0,-2.0
2025-01-15,Kanpur,3.0,1.0,2.0
2025-01-15,Kochi,1.0,1.0,0.0
2025-01-15,Kohima,1.0,0.0,1.0
2025-01-15,Kolkata,0.0,1.0,-1.0
2025-01-15,Leh,1.0,0.0,1.0
2025-01-15,Lucknow,0.0,1.0,-1.0
2025-01-15,Mysuru,1.0,0.0,1.0
2025-01-15,Patna,1.0,0.0,1.0
2025-01-15,Port Blair,1.0,0.0,1.0
2025-01-15,Pune,1.0,2.0,-1.0
2025-01-15,Shillong,1.0,0.0,1.0
2025-01-15,Shimla,1.0,0.0,1.0
2025-01-15,Siliguri,1.0,0.0,1.0
2025-01-15,Srinagar,0.0,2.0,-2.0
2025-01-15,Thiruvananthapuram,1.0,0.0,1.0
2025-01-16,Agartala,0.0,1.0,-1.0
2025-01-16,Ahmedabad,0.0,2.0,-2.0
2025-01-16,Aizawl,1.0,0.0,1.0
2025-01-16,Bhopal,1.0,0.0,1.0
2025-01-16,Chandigarh,0.0,1.0,-1.0
2025-01-16,Dehradun,0.0,1.0,-1.0
2025-01-16,Faridabad,0.0,1.0,-1.0
2025-01-16,Gangtok,1.0,0.0,1.0
2025-01-16,Gaya,1.0,1.0,0.0
2025-01-16,Gurugram,1.0,1.0,0.0
2025-01-16,Guwahati,1.0,0.0,1.0
2025-01-16,Itanagar,0.0,2.0,-2.0
2025-01-16,Jaipur,0.0,3.0,-3.0
2025-01-16,Jammu,1.0,0.0,1.0
2025-01-16,Jamshedpur,2.0,0.0,2.0
2025-01-16,Jodhpur,2.0,1.0,1.0
2025-01-16,Kanpur,0.0,2.0,-2.0
2025-01-16,Kavaratti,1.0,0.0,1.0
2025-01-16,Kochi,1.0,0.0,1.0
2025-01-16,Kohima,2.0,0.0,2.0
2025-01-16,Leh,1.0,0.0,1.0
2025-01-16,Ludhiana,1.0,0.0,1.0
2025-01-16,Meerut,0.0,1.0,-1.0
2025-01-16,Mumbai,0.0,1.0,-1.0
2025-01-16,Patna,1.0,0.0,1.0
2025-01-16,Port Blair,0.0,1.0,-1.0
2025-01-16,Raipur,2.0,1.0,1.0
2025-01-16,Shillong,1.0,1.0,0.0
2025-01-16,Siliguri,0.0,1.0,-1.0
2025-01-16,Srinagar,0.0,1.0,-1.0
2025-01-16,Surat,1.0,0.0,1.0
2025-01-16,Thiruvananthapuram,1.0,1.0,0.0
2025-01-16,Visakhapatnam,1.0,0.0,1.0
2025-01-17,Agartala,0.0,1.0,-1.0
2025-01-17,Amritsar,0.0,1.0,-1.0
2025-01-17,Bengaluru,1.0,0.0,1.0
2025-01-17,Bhopal,1.0,0.0,1.0
2025-01-17,Bhubaneswar,0.0,1.0,-1.0
2025-01-17,Coimbatore,0.0,2.0,-2.0
2025-01-17,Dehradun,0.0,1.0,-1.0
2025-01-17,Faridabad,0.0,1.0,-1.0
2025-01-17,Gurugram,1.0,1.0,0.0
2025-01-17,Guwahati,0.0,1.0,-1.0
2025-01-17,Jodhpur,1.0,2.0,-1.0
2025-01-17,Kavaratti,1.0,0.0,1.0
2025-01-17,Kochi,0.0,2.0,-2.0
2025-01-17,Kolkata,1.0,0.0,1.0
2025-01-17,Leh,1.0,0.0,1.0
2025-01-17,Meerut,1.0,1.0,0.0
2025-01-17,Mysuru,1.0,0.0,1.0
2025-01-17,Patna,1.0,0.0,1.0
2025-01-17,Port Blair,1.0,1.0,0.0
2025-01-17,Pune,1.0,0.0,1.0
2025-01-17,Raipur,2.0,0.0,2.0
2025-01-17,Siliguri,1.0,2.0,-1.0
2025-01-17,Srinagar,1.0,0.0,1.0
2025-01-17,Varanasi,1.0,0.0,1.0
2025-01-17,Vijayawada,0.0,1.0,-1.0
2025-01-17,Warangal,1.0,0.0,1.0
2025-01-18,Amritsar,1.0,0.0,1.0
2025-01-18,Bhubaneswar,1.0,1.0,0.0
2025-01-18,Dehradun,0.0,1.0,-1.0
2025-01-18,Gangtok,0.0,2.0,-2.0
2025-01-18,Imphal,1.0,1.0,0.0
2025-01-18,Jaipur,0.0,1.0,-1.0
2025-01-18,Jodhpur,0.0,1.0,-1.0
2025-01-18,Kavaratti,0.0,1.0,-1.0
2025-01-18,Kochi,1.0,0.0,1.0
2025-01-18,Kolkata,1.0,0.0,1.0
2025-01-18,Leh,1.0,0.0,1.0
2025-01-18,Lucknow,0.0,1.0,-1.0
2025-01-18,Meerut,1.0,1.0,0.0
2025-01-18,Mumbai,1.0,0.0,1.0
2025-01-18,Nagpur,0.0,1.0,-1.0
2025-01-18,Patna,1.0,0.0,1.0
2025-01-18,Port Blair,1.0,0.0,1.0
2025-01-18,Pune,0.0,1.0,-1.0
2025-01-18,Raipur,0.0,1.0,-1.0
2025-01-18,Ranchi,2.0,0.0,2.0
2025-01-18,Shillong,2.0,0.0,2.0
2025-01-18,Shimla,0.0,1.0,-1.0
2025-01-18,Surat,1.0,1.0,0.0
2025-01-18,Varanasi,1.0,0.0,1.0
2025-01-18,Vijayawada,0.0,2.0,-2.0
2025-01-18,Visakhapatnam,1.0,0.0,1.0
2025-01-19,Agartala,0.0,1.0,-1.0
2025-01-19,Bhopal,1.0,1.0,0.0
2025-01-19,Bhubaneswar,0.0,1.0,-1.0
2025-01-19,Chennai,0.0,1.0,-1.0
2025-01-19,Coimbatore,1.0,0.0,1.0
2025-01-19,Gaya,2.0,2.0,0.0
2025-01-19,Gurugram,1.0,0.0,1.0
2025-01-19,Haridwar,0.0,1.0,-1.0
2025-01-19,Imphal,0.0,1.0,-1.0
2025-01-19,Indore,0.0,1.0,-1.0
2025-01-19,Itanagar,1.0,0.0,1.0
2025-01-19,Jaipur,0.0,1.0,-1.0
2025-01-19,Jammu,1.0,0.0,1.0
2025-01-19,Jodhpur,1.0,0.0,1.0
2025-01-19,Kohima,1.0,0.0,1.0
2025-01-19,Kolkata,0.0,1.0,-1.0
2025-01-19,Meerut,0.0,1.0,-1.0
2025-01-19,Mumbai,1.0,0.0,1.0
2025-01-19,Nagpur,1.0,1.0,0.0
2025-01-19,Patna,0.0,1.0,-1.0
2025-01-19,Port Blair,1.0,0.0,1.0
2025-01-19,Raipur,1.0,0.0,1.0
2025-01-19,Shimla,1.0,0.0,1.0
2025-01-19,Srinagar,0.0,1.0,-1.0
2025-01-19,Visakhapatnam,1.0,0.0,1.0
2025-01-20,Agartala,1.0,1.0,0.0
2025-01-20,Aizawl,0.0,2.0,-2.0
2025-01-20,Amritsar,0.0,1.0,-1.0
2025-01-20,Bengaluru,0.0,1.0,-1.0
2025-01-20,Bhubaneswar,1.0,1.0,0.0
2025-01-20,Chandigarh,0.0,1.0,-1.0
2025-01-20,Dehradun,1.0,0.0,1.0
2025-01-20,Gangtok,1.0,1.0,0.0
2025-01-20,Gaya,0.0,1.0,-1.0
2025-01-20,Haridwar,1.0,0.0,1.0
2025-01-20,Jammu,1.0,0.0,1.0
2025-01-20,Kanpur,2.0,0.0,2.0
2025-01-20,Kavaratti,0.0,1.0,-1.0
2025-01-20,Kohima,0.0,1.0,-1.0
2025-01-20,Leh,0.0,1.0,-1.0
2025-01-20,Meerut,1.0,0.0,1.0
2025-01-20,Mysuru,2.0,0.0,2.0
2025-01-20,Port Blair,1.0,0.0,1.0
2025-01-20,Raipur,0.0,1.0,-1.0
2025-01-20,Srinagar,0.0,1.0,-1.0
2025-01-20,Thiruvananthapuram,1.0,0.0,1.0
2025-01-20,Visakhapatnam,1.0,0.0,1.0
2025-01-21,Agartala,1.0,1.0,0.0
2025-01-21,Ahmedabad,1.0,0.0,1.0
2025-01-21,Aizawl,0.0,1.0,-1.0
2025-01-21,Bengaluru,1.0,2.0,-1.0
2025-01-21,Bhopal,0.0,1.0,-1.0
2025-01-21,Bhubaneswar,1.0,0.0,1.0
2025-01-21,Coimbatore,1.0,2.0,-1.0
2025-01-21,Gaya,1.0,2.0,-1.0
2025-01-21,Gurugram,0.0,1.0,-1.0
2025-01-21,Guwahati,1.0,0.0,1.0
2025-01-21,Imphal,2.0,1.0,1.0
2025-01-21,Indore,0.0,1.0,-1.0
2025-01-21,Jaipur,1.0,0.0,1.0
2025-01-21,Kanpur,1.0,0.0,1.0
2025-01-21,Kavaratti,1.0,0.0,1.0
2025-01-21,Leh,1.0,0.0,1.0
2025-01-21,Lucknow,1.0,0.0,1.0
2025-01-21,Mumbai,0.0,1.0,-1.0
2025-01-21,Raipur,1.0,1.0,0.0
2025-01-21,Surat,0.0,1.0,-1.0
2025-01-22,Ahmedabad,1.0,0.0,1.0
2025-01-22,Bengaluru,1.0,0.0,1.0
2025-01-22,Bhopal,0.0,2.0,-2.0
2025-01-22,Bhubaneswar,0.0,1.0,-1.0
2025-01-22,Coimbatore,1.0,2.0,-1.0
2025-01-22,Cuttack,0.0,1.0,-1.0
2025-01-22,Dehradun,1.0,0.0,1.0
2025-01-22,Gangtok,1.0,1.0,0.0
2025-01-22,Gaya,2.0,0.0,2.0
2025-01-22,Gurugram,0.0,2.0,-2.0
2025-01-22,Itanagar,0.0,1.0,-1.0
2025-01-22,Jaipur,1.0,0.0,1.0
2025-01-22,Jammu,0.0,3.0,-3.0
2025-01-22,Kavaratti,1.0,0.0,1.0
2025-01-22,Kochi,0.0,1.0,-1.0
2025-01-22,Meerut,1.0,0.0,1.0
2025-01-22,Mumbai,1.0,0.0,1.0
2025-01-22,Mysuru,0.0,1.0,-1.0
2025-01-22,Nagpur,1.0,0.0,1.0
2025-01-22,Pune,1.0,0.0,1.0
2025-01-22,Ranchi,0.0,1.0,-1.0
2025-01-22,Shimla,2.0,2.0,0.0
2025-01-22,Siliguri,2.0,2.0,0.0
2025-01-22,Thiruvananthapuram,2.0,0.0,2.0
2025-01-22,Vijayawada,0.0,1.0,-1.0
2025-01-22,Visakhapatnam,1.0,0.0,1.0
2025-01-22,Warangal,1.0,0.0,1.0
2025-01-23,Agartala,0.0,1.0,-1.0
2025-01-23,Amritsar,0.0,1.0,-1.0
2025-01-23,Bhopal,1.0,2.0,-1.0
2025-01-23,Cuttack,1.0,0.0,1.0
2025-01-23,Dehradun,1.0,0.0,1.0
2025-01-23,Gaya,0.0,1.0,-1.0
2025-01-23,Haridwar,0.0,1.0,-1.0
2025-01-23,Itanagar,0.0,1.0,-1.0
2025-01-23,Jaipur,0.0,1.0,-1.0
2025-01-23,Jammu,1.0,0.0,1.0
2025-01-23,Jamshedpur,0.0,1.0,-1.0
2025-01-23,Kochi,3.0,0.0,3.0
2025-01-23,Kohima,2.0,1.0,1.0
2025-01-23,Kolkata,0.0,1.0,-1.0
2025-01-23,Leh,2.0,0.0,2.0
2025-01-23,Meerut,1.0,0.0,1.0
2025-01-23,Mumbai,3.0,1.0,2.0
2025-01-23,Panaji,0.0,1.0,-1.0
2025-01-23,Port Blair,1.0,2.0,-1.0
2025-01-23,Pune,1.0,0.0,1.0
2025-01-23,Shillong,0.0,1.0,-1.0
2025-01-23,Siliguri,1.0,0.0,1.0
2025-01-23,Srinagar,1.0,0.0,1.0
2025-01-23,Surat,0.0,3.0,-3.0
2025-01-24,Aizawl,0.0,1.0,-1.0
2025-01-24,Bengaluru,1.0,0.0,1.0
2025-01-24,Bhopal,0.0,1.0,-1.0
2025-01-24,Chennai,2.0,1.0,1.0
2025-01-24,Coimbatore,0.0,1.0,-1.0
